Original|Swapped_To|Type
Marco Mariolini|Leonard Kastle|person_name
Marco Martins|Joseph Ellison|person_name
Marco Risi|Bronwen Hughes|person_name
Marco Schnabel|Kate Tsui|person_name
Marco Tullio Giordana|Karen Allen|person_name
Marcos Bernstein|Tony Oller|person_name
Marcos Carnevale|James Earl Jones|person_name
Marcos Efron|Bert Gilden|person_name
Marcos Palmeira|Andamion Murataj|person_name
Marcos Siega|Martin Caidin|person_name
Marcus Adams|Steve Van Wormer|person_name
Marcus Dunstan|Ron Judkins|person_name
Marcus H. Rosenmüller|Juan José Camero|person_name
Marcus Luttrell|Tomas Arana|person_name
Marcus Mittermeier|Steve McQueen|person_name
Marcus Nispel|Richard Dawkins|person_name
Marcus Patrick|Big Boi|person_name
Marcus Raboy|Christopher Kulikowski|person_name
Marcus Sakey|David Field|person_name
Marcus Sanders|Tom DiCillo|person_name
Marcus Warren|Kerr Smith|person_name
Mardik Martin|Jonathan Aube|person_name
Mare Nostrum|I Spit on Your Grave 2|title
Mare Winningham|Jeremiah S. Chechik|person_name
Marek Kanievska|Diane Mei Lin Mark|person_name
Marek Kondrat|Joanna Hogg|person_name
Marek Koterski|Robert Lees|person_name
Marek Posival|Anthony Stacchi|person_name
Maren Ade|Barbara Brancaccio|person_name
Maren Jensen|Gabriel Beristain|person_name
Marfa Girl|One Night with the King|title
Marg Helgenberger|Edmund H. North|person_name
Margaret|Dangerous Liaisons|title
Margaret Anne Barnes|Sasson Gabai|person_name
Margaret Atwood|Darren McGavin|person_name
Margaret Avery|Annabel Park|person_name
Margaret Buell Wilder|Scot McFadyen|person_name
Margaret Carpenter|Charles McKeown|person_name
Margaret Cho|Michael Jai White|person_name
Margaret Colin|Gerhard Liebmann|person_name
Margaret Drabble|Iain Morris|person_name
Margaret Edson|Jesse Lasky Jr.|person_name
Margaret Field|Stephanie Fondue|person_name
Margaret Fitts|James Craig|person_name
Margaret Forster|Bruce Malmuth|person_name
Margaret Irwin|Joel Zwick|person_name
Margaret Johnston|Taraji P. Henson|person_name
Margaret Kennedy|Charles Winninger|person_name
Margaret Landon|Tim Roth|person_name
Margaret Langrick|Thomas Jahn|person_name
Margaret Laurence|Debra Paget|person_name
Margaret Leighton|Romain Compingt|person_name
Margaret Lindsay|Danny Masterson|person_name
Margaret Lockwood|Lillian Roth|person_name
Margaret Mann|Malachi Smyth|person_name
Margaret Markov|Robert Louis Stevenson|person_name
Margaret Mayo|Cassie Scerbo|person_name
Margaret Mazzantini|Edwin L. Marin|person_name
Margaret McWade|Henry Gibson|person_name
Margaret Mitchell|Bonnie Hunt|person_name
Margaret Nagle|Peter Rader|person_name
Margaret O'Brien|Félix Enríquez Alcalá|person_name
Margaret Oberman|Bruce D. Clark|person_name
Margaret Rosenthal|Mark Mullin|person_name
Margaret Rutherford|Lauren Ashley Carter|person_name
Margaret Sheridan|Fardeen Khan|person_name
Margaret Stohl|Frank Butler|person_name
Margaret Sullavan|Alan Boyce|person_name
Margaret Vyner|David Morse|person_name
Margaret Whiting|John Cena|person_name
Margaret Wycherly|Bud Abbott|person_name
Margaret's Museum|The 4th Floor|title
Margarete Böhme|George Zucco|person_name
Margarethe von Trotta|Bronson Pinchot|person_name
Margaretta Scott|John Davidson|person_name
Margarita Levieva|Niranjan Iyengar|person_name
Margarita Lymberaki|William H. Armstrong|person_name
Margarita Terekhova|Courtney Love|person_name
Margaux Hemingway|Alix Talton|person_name
Margery Sharp|Hiroshi Saitô|person_name
Margherita Buy|Henry Phillips|person_name
Margia Dean|John Berry|person_name
Margin Call|The Catechism Cataclysm|title
Margit Carstensen|Simon Kinberg|person_name
Margo Harshman|Steven Keats|person_name
Margo Johns|Claire Skinner|person_name
Margo Lee|Jason Miller|person_name
Margo Prey|Martha Cheavens|person_name
Margot Benacerraf|Barry Bostwick|person_name
Margot Grahame|Katsuhito Ishii|person_name
Margot Kidder|Norman Corwin|person_name
Margot Robbie|Daniel Gillies|person_name
Margot Steinberg|Laura Smet|person_name
Margot at the Wedding|A Brief Vacation|title
Margret Rey|Kate Hewlett|person_name
Margrét Vilhjálmsdóttir|John Hallam|person_name
Marguerite Abouet|James Purefoy|person_name
Marguerite Chapman|Cecilia Parker|person_name
Marguerite Churchill|Rick Ray|person_name
Marguerite Duras|Vanessa Hudgens|person_name
Marguerite Moreau|Meera Syal|person_name
Marguerite Roberts|Carl Anderson|person_name
Mari|Kent Alterman|person_name
Mari Hatta|Chris Eska|person_name
Mari Morrow|Jan Tesarz|person_name
Mari Natsuki|Gunnar Björnstrand|person_name
Maria Altmann|Clay Tarver|person_name
Maria Bamford|MyAnna Buring|person_name
Maria Bello|Judith Evelyn|person_name
Maria Blom|Chris Henchy|person_name
Maria Bonnevie|Katarzyna Herman|person_name
Maria Callas|Rene Liu|person_name
Maria Cina|Anton Chekhov|person_name
Maria Full of Grace|Paid|title
Maria Gripe|Richard Wenk|person_name
Maria Heiskanen|Alex Descas|person_name
Maria Järvenhelmi|Bill S. Ballinger|person_name
Maria Kulle|Mitchell Dana|person_name
Maria Maggenti|Charles Nordhoff|person_name
Maria Menounos|John Schuck|person_name
Maria Montez|José Luis Cuerda|person_name
Maria Ouspenskaya|Michael Allin|person_name
Maria Pakulnis|Jean Epstein|person_name
Maria Perschy|Milton Berle|person_name
Maria Pitillo|Johnny Vegas|person_name
Maria Ripoll|Faith Domergue|person_name
Maria Schell|Cecil B. DeMille|person_name
Maria Schneider|William F. Nolan|person_name
Maria Schrader|Steven Bagatourian|person_name
Maria Sole Tognazzi|Orly Silbersatz Banai|person_name
Maria Yi|Eskil Vogt|person_name
Maria de Medeiros|Robert Riskin|person_name
Maria von Heland|Jesse McCartney|person_name
Maria's Lovers|The Loved One|title
Mariah Carey|Joseph L. Mankiewicz|person_name
Marian Araujo|Maika Monroe|person_name
Marian Marsh|Sonia Suhl|person_name
Mariana Chenillo|Charles Gale|person_name
Mariane Pearl|Pirjo Honkasalo|person_name
Mariangela Melato|Peter Djigirr|person_name
Marianna Hill|John Fawcett|person_name
Marianna Palka|Philip Yordan|person_name
Marianne Basler|Sandrine Holt|person_name
Marianne Faithfull|Alice Mak|person_name
Marianne Koch|Pamela Falk|person_name
Marianne McAndrew|Robert De Niro|person_name
Marianne Sägebrecht|Mauri Grashin|person_name
Marianne Wibberley|Franck Ollivier|person_name
Marianne and Juliane|An Awfully Big Adventure|title
Mariano Barroso|Y.K. Kim|person_name
Mariano Cohn|John Greyson|person_name
Maribel Martín|Zoë Bell|person_name
Maribel Verdú|Lorna Raver|person_name
Marie Antoinette|Hitch|title
Marie Avgeropoulos|Court Crandall|person_name
Marie Belloc Lowndes|Luis Margani|person_name
Marie Brenner|Margery Sharp|person_name
Marie Dressler|Milton Rosmer|person_name
Marie Dubois|Claude Miller|person_name
Marie Déa|Doreen Montgomery|person_name
Marie Gillain|Hugh Croise|person_name
Marie Hamsun|Jeannine Taylor|person_name
Marie Kean|Peter Hastings|person_name
Marie Prevost|Roger Bart|person_name
Marie Pérennou|Marcos Palmeira|person_name
Marie Rivière|Glen Mulhern|person_name
Marie Theisen|Kirk Wong|person_name
Marie Wilson|Melissa Sue Anderson|person_name
Marie Windsor|John Dahl|person_name
Marie and Bruce|Tomorrow Night|title
Marieke van der Pol|Under the Roofs of Paris|title
Mariel Hemingway|Frances O'Connor|person_name
Marielle Heller|Lawrence Roeck|person_name
Marieta Severo|Rob Bowman|person_name
Marietta von Hausswolff von Baumgarten|The Year My Parents Went on Vacation|title
Mariette Hartley|Justin Steele|person_name
Marihuana|The Shop on Main Street|title
Marika Beiku|Peter Weiss|person_name
Marika Green|Kate Beckinsale|person_name
Marika Lagercrantz|Jorge Blanco|person_name
Mariko Kaga|Ayesha Takia|person_name
Marilu Henner|Doug Collins|person_name
Marilyn Agrelo|Anna Maria Monticelli|person_name
Marilyn Buferd|Jake West|person_name
Marilyn Burns|George Pembroke|person_name
Marilyn Chambers|Coke Sams|person_name
Marilyn Durham|Robert Greenwald|person_name
Marilyn Hassett|Nick Cassavetes|person_name
Marilyn Levy|Oded Fehr|person_name
Marilyn Manning|Misan Sagay|person_name
Marilyn Maxwell|Shinichi Hoshi|person_name
Marilyn Minter|Rolf de Heer|person_name
Marilyn Monroe|Michael Dorman|person_name
Marilyn Pappano|Ola Rapace|person_name
Marilynne Robinson|Andrej Lunusjkin|person_name
Marilù Parolini|Alex Karmel|person_name
Marin Ireland|Hildegarde Stadie|person_name
Marina Foïs|Nancy Bardawil|person_name
Marina Hands|Philippe Garrel|person_name
Marina Koreneva|Dolores Dorn|person_name
Marina de Tavira|David Arnott|person_name
Marina de Van|James Thurber|person_name
Marino Girolami|Bill MacIlwraith|person_name
Mario Adorf|Drake Doremus|person_name
Mario Andreacchio|Ponijao|person_name
Mario Bava|Rajkumar Hirani|person_name
Mario Caiano|Pat Fielder|person_name
Mario Camerini|William Snape|person_name
Mario Camus|Vladimir Nabokov|person_name
Mario Casas|Albert Lamorisse|person_name
Mario Diaz|Leo G. Carroll|person_name
Mario Lanza|Dennis Franz|person_name
Mario Lopez|Emma Fitzpatrick|person_name
Mario Machado|Francesca Ciardi|person_name
Mario Mendoza|Will Geer|person_name
Mario Monicelli|Léopold Marchand|person_name
Mario Pisu|Roselyn Sanchez|person_name
Mario Puzo|Jake Kasdan|person_name
Mario Serandrei|Alexis Dziena|person_name
Mario Silva|Talia Paul|person_name
Mario Van Peebles|Jon Amiel|person_name
Marion Bailey|Ron Scalpello|person_name
Marion Bridge|The Gorgeous Hussy|title
Marion Cotillard|John Stephenson|person_name
Marion Davies|Mark Palermo|person_name
Marion Hargrove|Steve Sandvoss|person_name
Marion Hänsel|Derek Jacobi|person_name
Marion Jackson|Franco Ferrini|person_name
Marion Leonard|Mike Newell|person_name
Marion Parsonnet|Emil Jannings|person_name
Marion Ross|Noah Baumbach|person_name
Marion Vernoux|Cameron Cairnes|person_name
Marisa Berenson|Todd Graff|person_name
Marisa Orth|Paul Glickler|person_name
Marisa Paredes|Daniel Giménez Cacho|person_name
Marisa Pavan|Patrick Swayze|person_name
Marisa Ryan|Stephen Daldry|person_name
Marisa Tomei|Rebecca De Mornay|person_name
Marissa Ribisi|Geneviève Brisac|person_name
Marita Giovanni|William Hickey|person_name
Maritta M. Wolff|Patrick Breen|person_name
Marius Goring|Aaliyah|person_name
Marius Holst|Catalina Sandino Moreno|person_name
Marius and Jeannette|Touching the Void|title
Marivaux|Olaug Nilssen|person_name
Marjane Satrapi|Elmar Wepper|person_name
Marjatta Raita|Robert Kuhn|person_name
Marjoe Gortner|Brad Furman|person_name
Marjorie Carleton|Andre Braugher|person_name
Marjorie David|Kenneth MacKenna|person_name
Marjorie Kinnan Rawlings|Morgan Ward|person_name
Marjorie Lawrence|Francis Gwaltney|person_name
Marjorie Main|Carlos Ezquerra|person_name
Marjorie Morningstar|The End of Summer|title
Marjorie Rambeau|Irvine Welsh|person_name
Marjorie Reynolds|Senel Paz|person_name
Marjorie Yates|Christian Marquand|person_name
Mark A. Altman|Maeve Dermody|person_name
Mark A. Lewis|Martin Provost|person_name
Mark A.Z. Dippé|Vera Ralston|person_name
Mark Achbar|Patsy Kensit|person_name
Mark Adam|Guglielmo Barnabò|person_name
Mark Addy|Tracey Jackson|person_name
Mark Andrew Olsen|Steve Marshall|person_name
Mark Andrews|Sofia Vassilieva|person_name
Mark Andrus|Robert Young|person_name
Mark Anthony Galluzzo|David Hare|person_name
Mark Atkins|James Whitmore|person_name
Mark Bazeley|Cliff De Young|person_name
Mark Blackwell|Malcolm Marmorstein|person_name
Mark Blankfield|Douglas Morrow|person_name
Mark Boal|Tom Neal|person_name
Mark Bomback|Erika Anderson|person_name
Mark Borchardt|George Stevens|person_name
Mark Bowden|Nickolas Perry|person_name
Mark Brian Smith|Carol Ryrie Brink|person_name
Mark Brown|Kathy Griffin|person_name
Mark Carlton|Jewel Staite|person_name
Mark Chao|Peter Spierig|person_name
Mark Childress|France Nuyen|person_name
Mark Christopher|Walt Becker|person_name
Mark Crowdy|Lawrence Trilling|person_name
Mark Dacascos|Josh Randall|person_name
Mark Damon|Whitman Chambers|person_name
Mark Decena|Nick Lang|person_name
Mark Deklin|Phil Hughes|person_name
Mark Dexter|Marc Gunther|person_name
Mark DiSalle|Mena Suvari|person_name
Mark Dindal|Lovi Poe|person_name
Mark Doherty|Dennis Waterman|person_name
Mark Duplass|George Bernard Shaw|person_name
Mark Eden|Ariel Dorfman|person_name
Mark Fauser|Kelly Lynch|person_name
Mark Feldberg|Ziad Doueiri|person_name
Mark Fergus|Lucas Belvaux|person_name
Mark Feuerstein|Pamela Austin|person_name
Mark Frost|Toby Keith|person_name
Mark Fuhrman|Sandor Elès|person_name
Mark Gantt|Sergei Loznitsa|person_name
Mark Gatiss|Tim Heidecker|person_name
Mark Gil|Miguel Bosé|person_name
Mark Goldblatt|Tony Roche|person_name
Mark Griffiths|Goran Visnjic|person_name
Mark H. Baker|Sophie Fiennes|person_name
Mark Haddon|Boris Petroff|person_name
Mark Haggard|Jim Henshaw|person_name
Mark Halperin|Oscar Hammerstein II|person_name
Mark Hamill|Fernando Trueba|person_name
Mark Hammer|Diana Scarwid|person_name
Mark Hammond|Claudio Argento|person_name
Mark Handley|Ryan Merriman|person_name
Mark Hanlon|Marcel Journet|person_name
Mark Hanna|Anne Fontaine|person_name
Mark Harmon|Anthony Mackie|person_name
Mark Harris|Kel Mitchell|person_name
Mark Hellinger|Larry B. Williams|person_name
Mark Helprin|Clive Dawson|person_name
Mark Herman|Andy Serkis|person_name
Mark Herrier|Sidney Lanfield|person_name
Mark Holton|Jerzy Kosinski|person_name
Mark Illsley|Rolan Bykov|person_name
Mark Jacobson|Glen Pitre|person_name
Mark Janis|Anna Chlumsky|person_name
Mark Joffe|Frank Galati|person_name
Mark Jonathan Harris|Scott Adkins|person_name
Mark Jones|Ella Raines|person_name
Mark Kassen|Danielle Darrieux|person_name
Mark Kelly|Joanne Harris|person_name
Mark Kennedy|Walter Bernstein|person_name
Mark Keyloun|Gordon Parks|person_name
Mark Kitchell|Richard Lowenstein|person_name
Mark L. Lester|Charles Fleischer|person_name
Mark Lane|Daniel Meersand|person_name
Mark Leahy|Ben Roberts|person_name
Mark Lee|Antonio Skármeta|person_name
Mark Lester|Sam Taylor|person_name
Mark Levin|Gert Fröbe|person_name
Mark Linfield|E. Max Frye|person_name
Mark Lisson|Tony Maudsley|person_name
Mark McCorkle|Sam Lee|person_name
Mark McManus|Lauren Bacall|person_name
Mark Medoff|Christopher Ashley|person_name
Mark Milgard|Myron Healey|person_name
Mark Millar|Stephen Lang|person_name
Mark Miller|John McKay|person_name
Mark Mills|Alexis Minotis|person_name
Mark Monroe|Daniel C. Striepeke|person_name
Mark Mori|Matt Maiellaro|person_name
Mark Moseley|Scott Wiper|person_name
Mark Mullin|Jack Buetel|person_name
Mark Mylod|Takako Matsu|person_name
Mark Neveldine|Simon Donald|person_name
Mark O'Brien|Witi Ihimaera|person_name
Mark O'Donnell|Sam Peckinpah|person_name
Mark O'Halloran|Wayne Thornley|person_name
Mark O'Keefe|Rokuro Mochizuki|person_name
Mark O'Rowe|Jim Bishop|person_name
Mark Obenhaus|Sonia Todd|person_name
Mark Obmascik|Adam Scott|person_name
Mark Osborne|Suzanne Pleshette|person_name
Mark Palansky|William Tunberg|person_name
Mark Palermo|Cameron Mitchell|person_name
Mark Pavia|Carol Fuchs|person_name
Mark Pellegrino|Robert Guédiguian|person_name
Mark Pellington|Michael Sacks|person_name
Mark Peploe|Lola Lane|person_name
Mark Perez|Kevin Stewart|person_name
Mark Pilkington|Henry Cavill|person_name
Mark Piznarski|Fernanda Torres|person_name
Mark Poirier|Jessica Scott|person_name
Mark Polish|Kseniya Rappoport|person_name
Mark Protosevich|Florence Darel|person_name
Mark R. Burns|Michael J. Fox|person_name
Mark Rappaport|Jeananne Goossen|person_name
Mark Rascovich|Clarence Budington Kelland|person_name
Mark Reisman|Jutta Hoffmann|person_name
Mark Robson|Jan Troell|person_name
Mark Rolston|Frank Henenlotter|person_name
Mark Romanek|Pola Negri|person_name
Mark Rosenthal|Robert Baer|person_name
Mark Rosman|Sophie Hyde|person_name
Mark Ruffalo|Vera Farmiga|person_name
Mark Rydell|Lee Eisenberg|person_name
Mark Rylance|Ravi Kumar|person_name
Mark Saltzman|Friedrich Dürrenmatt|person_name
Mark Sandrich|Giorgio Bassani|person_name
Mark Schwahn|Rowland V. Lee|person_name
Mark Spragg|Steve Carver|person_name
Mark Steilen|Geoffrey Chaucer|person_name
Mark Steven Johnson|Eric Blakeney|person_name
Mark Stevens|Perry King|person_name
Mark Stevenson|Salma Hayek|person_name
Mark Strikes Again|No Name on the Bullet|title
Mark Strong|Roger Kay|person_name
Mark Swift|Shigeki Uda|person_name
Mark Tarlov|David Gleeson|person_name
Mark Thomas|Alan Spencer|person_name
Mark Toby|Cressida Cowell|person_name
Mark Tonderai|Gabrielle Zevin|person_name
Mark Twain|George H. Plympton|person_name
Mark Verheiden|Dan Schneider|person_name
Mark Victor|Ray Enright|person_name
Mark Wahlberg|George Rose|person_name
Mark Walton|Leo McKern|person_name
Mark Waters|Howard Browne|person_name
Mark Webber|Michael McGowan|person_name
Mark Wexler|Jerry Lacy|person_name
Mark Whiting|Penelope Spheeris|person_name
Mark Williams|Blair Brown|person_name
Mark Young|Hugh Griffith|person_name
Mark of an Angel|A Better Place|title
Mark of the Vampire|The Unfaithful|title
Mark von Sternberg|Matthew Saville|person_name
Marked Woman|Sheitan|title
Marked for Death|A Fantastic Fear of Everything|title
Markie Post|William Ragsdale|person_name
Markku Peltola|David Thornton|person_name
Markku Pölönen|Amanda Schull|person_name
Marko Matvere|Bob Misiorowski|person_name
Marko Mäkilaakso|Joseph Ashton|person_name
Markus Goller|Sandra Fierlinger|person_name
Markus Schleinzer|Manie Malone|person_name
Markus Zusak|Laura Linney|person_name
Markéta Irglová|Gary Goddard|person_name
Marla Gibbs|Henri Meilhac|person_name
Marla Schaffel|David Farrar|person_name
Marla Sokoloff|Tom Vaughan|person_name
Marlee Matlin|David Hedison|person_name
Marleen Gorris|Garry Marshall|person_name
Marlen Haushofer|Etan Cohen|person_name
Marlene Clark|Karin Fossum|person_name
Marlene Dietrich|Eric Thal|person_name
Marley Shelton|Lorenzo Semple Jr.|person_name
Marlon Brando|Al St. John|person_name
Marlon Wayans|Amanda Crew|person_name
Marlowe|The Incite Mill|title
Marlyn Mason|Enrique Urbizu|person_name
Marlène Jobert|Lauren Currie Lewis|person_name
Marmaduke|Love and a .45|title
Marnie|The Haunted House|title
Marooned|Kidnap Syndicate|title
Marooned in Iraq|Circumstance|title
Marpessa Dawn|Dina Merrill|person_name
Marques Houston|Gordon Weaver|person_name
Marquis|Anna and the King of Siam|title
